15 - number of process , 4 -> size of critical section

64:2		CHLANIE! Zgody = 14
76:5		CHLANIE! Zgody = 13
79:9		CHLANIE! Zgody = 12
82:12		CHLANIE! Zgody = 11
130:2		KONIEC CHLANIA!
134:5		KONIEC CHLANIA!
137:9		KONIEC CHLANIA!
140:12		KONIEC CHLANIA!
142:13		CHLANIE! Zgody = 11
144:10		CHLANIE! Zgody = 13
153:3		CHLANIE! Zgody = 11
157:8		CHLANIE! Zgody = 12
182:13		KONIEC CHLANIA!
184:10		KONIEC CHLANIA!
186:4		CHLANIE! Zgody = 11
188:6		CHLANIE! Zgody = 11
189:3		KONIEC CHLANIA!
208:7		CHLANIE! Zgody = 11
209:8		KONIEC CHLANIA!
229:11		CHLANIE! Zgody = 11
245:4		KONIEC CHLANIA!
248:6		KONIEC CHLANIA!
269:7		KONIEC CHLANIA!
272:0		CHLANIE! Zgody = 13
274:11		KONIEC CHLANIA!
274:1		CHLANIE! Zgody = 11
276:14		CHLANIE! Zgody = 11
279:5		CHLANIE! Zgody = 11
299:0		KONIEC CHLANIA!
312:14		KONIEC CHLANIA!
315:1		KONIEC CHLANIA!
319:5		KONIEC CHLANIA!
320:12		CHLANIE! Zgody = 11
320:2		CHLANIE! Zgody = 13
323:9		CHLANIE! Zgody = 12
341:3		CHLANIE! Zgody = 11
356:2		KONIEC CHLANIA!
364:9		KONIEC CHLANIA!
367:12		KONIEC CHLANIA!
368:13		CHLANIE! Zgody = 11
382:3		KONIEC CHLANIA!
387:6		CHLANIE! Zgody = 11
387:8		CHLANIE! Zgody = 11
389:10		CHLANIE! Zgody = 13
424:13		KONIEC CHLANIA!
426:10		KONIEC CHLANIA!
427:8		KONIEC CHLANIA!
429:4		CHLANIE! Zgody = 11
429:6		KONIEC CHLANIA!
433:7		CHLANIE! Zgody = 13
434:11		CHLANIE! Zgody = 12
435:0		CHLANIE! Zgody = 11
475:4		KONIEC CHLANIA!
479:7		KONIEC CHLANIA!
480:1		CHLANIE! Zgody = 11
482:0		KONIEC CHLANIA!
484:11		KONIEC CHLANIA!
484:5		CHLANIE! Zgody = 11
489:14		CHLANIE! Zgody = 12
490:9		CHLANIE! Zgody = 11
526:1		KONIEC CHLANIA!
531:5		KONIEC CHLANIA!
535:2		CHLANIE! Zgody = 12
536:3		CHLANIE! Zgody = 11
540:14		KONIEC CHLANIA!
542:9		KONIEC CHLANIA!
549:8		CHLANIE! Zgody = 11
553:12		CHLANIE! Zgody = 12
